ID,date,endVZA,LAI_LXG1,baseline_LAI,LAI_LXG1_nowood
LT22,2024-09-20,10,9.114285714285714,5,4.114285714285714
LT22,2024-09-20,20,6.621212121212121,4.605263157894737,2.015948963317384
LT22,2024-09-20,30,5.375,3.7249999999999996,1.6500000000000004
LT22,2024-09-20,40,4.753623188405797,3.325,1.4286231884057967
LT22,2024-09-20,50,4.295774647887324,2.6744186046511627,1.6213560432361613
LT22,2024-09-20,60,4.183098591549296,2.2666666666666666,1.9164319248826294
LT22,2024-09-20,70,3.72,1.8235294117647058,1.8964705882352944
LT22,2024-09-20,80,3.513157894736842,1.5357142857142856,1.9774436090225564
LT22,2024-09-20,90,3.0256410256410255,1.3,1.7256410256410255
LT14,2024-09-20,10,8.610169491525424,0.41935483870967744,8.190814652815746
LT14,2024-09-20,20,6.672131147540984,0.42857142857142855,6.243559718969555
LT14,2024-09-20,30,5.904761904761905,0.5,5.404761904761905
LT14,2024-09-20,40,5.611940298507462,0.4909090909090909,5.121031207598371
LT14,2024-09-20,50,5.191176470588235,0.4736842105263159,4.717492260061919
LT14,2024-09-20,60,4.625,0.5178571428571428,4.107142857142858
LT14,2024-09-20,70,4.207792207792208,0.5396825396825398,3.6681096681096683
LT14,2024-09-20,80,3.8333333333333335,0.6470588235294117,3.186274509803922
LT14,2024-09-20,90,3.3717948717948714,0.6575342465753424,2.714260625219529
LT52,2024-09-20,10,4.035714285714285,0.36363636363636365,3.672077922077921
LT52,2024-09-20,20,4.777777777777778,0.3666666666666667,4.411111111111111
LT52,2024-09-20,30,4.506666666666667,0.41860465116279066,4.088062015503876
LT52,2024-09-20,40,4.173333333333333,0.4791666666666667,3.6941666666666664
LT52,2024-09-20,50,3.986666666666667,0.5471698113207547,3.439496855345912
LT52,2024-09-20,60,3.8108108108108105,0.5892857142857143,3.221525096525096
LT52,2024-09-20,70,3.4025974025974026,0.6379310344827587,2.7646663681146437
LT52,2024-09-20,80,3.08974358974359,0.65,2.43974358974359
LT52,2024-09-20,90,2.714285714285714,0.639344262295082,2.074941451990632
LT43,2024-09-20,10,8.040000000000001,1.074074074074074,6.9659259259259265
LT43,2024-09-20,20,6.47887323943662,1.4545454545454544,5.024327784891166
LT43,2024-09-20,30,5.328571428571429,1.1282051282051282,4.200366300366301
LT43,2024-09-20,40,4.821917808219178,0.82,4.0019178082191775
