"ID","date","endVZA","filename","ring","GF0_360","lens","circ","channel","stretch","gamma","zonal","thd","method","lat","lon"
"LT14","20240920",70,"LT14_20240920.jpg",35,0.092494820245228,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT14","20240920",80,"LT14_20240920.jpg",40,0.0792832295750688,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT14","20240920",90,"LT14_20240920.jpg",45,0.0686129035613382,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT21","20240920",10,"LT21_20240920.jpg",5,0.0185798033282905,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT21","20240920",20,"LT21_20240920.jpg",10,0.089048082055975,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT21","20240920",30,"LT21_20240920.jpg",15,0.0996203599550056,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT21","20240920",40,"LT21_20240920.jpg",20,0.10343531689357,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT21","20240920",50,"LT21_20240920.jpg",25,0.100576103314086,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT21","20240920",60,"LT21_20240920.jpg",30,0.0995820268537967,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT21","20240920",70,"LT21_20240920.jpg",35,0.0926461494198114,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT21","20240920",80,"LT21_20240920.jpg",40,0.0814402023133723,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT21","20240920",90,"LT21_20240920.jpg",45,0.0709834668407182,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT22","20240920",10,"LT22_20240920.jpg",5,0.0506618759455371,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT22","20240920",20,"LT22_20240920.jpg",10,0.120243270037367,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT22","20240920",30,"LT22_20240920.jpg",15,0.171980185169162,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT22","20240920",40,"LT22_20240920.jpg",20,0.167750116932589,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT22","20240920",50,"LT22_20240920.jpg",25,0.162534556254599,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT22","20240920",60,"LT22_20240920.jpg",30,0.142401856053539,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT22","20240920",70,"LT22_20240920.jpg",35,0.126035483889048,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT22","20240920",80,"LT22_20240920.jpg",40,0.105401273147442,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT22","20240920",90,"LT22_20240920.jpg",45,0.0914248213220027,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT23","20240920",10,"LT23_20240920.jpg",5,0.246832450832073,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","90","Otsu",NA,NA
"LT23","20240920",20,"LT23_20240920.jpg",10,0.174249790284451,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","90","Otsu",NA,NA
"LT23","20240920",30,"LT23_20240920.jpg",15,0.158371549710132,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","90","Otsu",NA,NA
"LT23","20240920",40,"LT23_20240920.jpg",20,0.156210058453788,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","90","Otsu",NA,NA
"LT23","20240920",50,"LT23_20240920.jpg",25,0.136930194708335,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","90","Otsu",NA,NA
"LT23","20240920",60,"LT23_20240920.jpg",30,0.13113222876883,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","90","Otsu",NA,NA
"LT23","20240920",70,"LT23_20240920.jpg",35,0.120846387809968,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","90","Otsu",NA,NA
"LT23","20240920",80,"LT23_20240920.jpg",40,0.10682197886624,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","90","Otsu",NA,NA
"LT23","20240920",90,"LT23_20240920.jpg",45,0.0919239300448174,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","90","Otsu",NA,NA
"LT24","20240920",10,"LT24_20240920.jpg",5,0.156864599092284,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT24","20240920",20,"LT24_20240920.jpg",10,0.124161137802181,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT24","20240920",30,"LT24_20240920.jpg",15,0.120685515272129,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT24","20240920",40,"LT24_20240920.jpg",20,0.119433195848956,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT24","20240920",50,"LT24_20240920.jpg",25,0.109298450023535,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT24","20240920",60,"LT24_20240920.jpg",30,0.109029905090907,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT24","20240920",70,"LT24_20240920.jpg",35,0.098211933706612,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT24","20240920",80,"LT24_20240920.jpg",40,0.0870449016176533,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT24","20240920",90,"LT24_20240920.jpg",45,0.0748151136167131,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT31","20240920",10,"LT31_20240920.jpg",5,0.0785646747352496,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT31","20240920",20,"LT31_20240920.jpg",10,0.132659383817586,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT31","20240920",30,"LT31_20240920.jpg",15,0.124855066193649,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT31","20240920",40,"LT31_20240920.jpg",20,0.100391943031943,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT31","20240920",50,"LT31_20240920.jpg",25,0.0953052386287548,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT31","20240920",60,"LT31_20240920.jpg",30,0.0837390692047978,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT31","20240920",70,"LT31_20240920.jpg",35,0.0780515247815535,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT31","20240920",80,"LT31_20240920.jpg",40,0.0699487966683536,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT31","20240920",90,"LT31_20240920.jpg",45,0.0617960307935942,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT32","20240920",10,"LT32_20240920.jpg",5,0.395225037821483,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
